"Network","ParkCode","ShortName","LongName","SiteCode","SiteCodeWQX","SiteName","Lat","Long","Type","CharacteristicName","DisplayName","DataName","Category","CategoryDisplay","Units","LowerPoint","UpperPoint","DataType","LowerDescription","UpperDescription","AssessmentDetails","IsActiveSiteCode","IsActiveCharacteristicName","IsActive"
"NCRN","ANTI","Antietam","Antietam National Battlefield","NCRN_ANTI_SHCK","NCRN_ANTI_SHCK","Sharpsburg Creek",39.454865,-77.737697,"Stream","AirTemp","Air Temperature","Temperature, air","AirTemp","Air Temperature","°C",NA,NA,"numeric",NA,"","","True","True","True"
"NCRN","ANTI","Antietam","Antietam National Battlefield","NCRN_ANTI_SHCK","NCRN_ANTI_SHCK","Sharpsburg Creek",39.454865,-77.737697,"Stream","Discharge","Discharge","Base flow discharge","Discharge","Discharge","cfs",NA,NA,"numeric",NA,"","","True","True","True"
"NCRN","ANTI","Antietam","Antietam National Battlefield","NCRN_ANTI_SHCK","NCRN_ANTI_SHCK","Sharpsburg Creek",39.454865,-77.737697,"Stream","Depth","Depth","Cross-Section Depth","Depth","Depth","ft",NA,NA,"numeric",NA,"","","True","True","True"
"NCRN","ANTI","Antietam","Antietam National Battlefield","NCRN_ANTI_SHCK","NCRN_ANTI_SHCK","Sharpsburg Creek",39.454865,-77.737697,"Stream","WaterTemp","Water Temperature","Temperature, water","WaterTemp","Water Temperature","°C",NA,32,"numeric",NA,"Acceptable water temperature is below 32 degrees C for warm water streams.","District DOE, 2010, State of MD 2010, State of WV 2011, VA Water Control Board 2011","True","True","True"
"NCRN","ANTI","Antietam","Antietam National Battlefield","NCRN_ANTI_SHCK","NCRN_ANTI_SHCK","Sharpsburg Creek",39.454865,-77.737697,"Stream","SC","Specific Conductance","Specific conductance","SC","Specific Conductance","µS/cm",NA,171,"numeric",NA,"Acceptable specific conductance is below 171 uS/cm.","Morgan et al. 2007","True","True","True"
